Date	Range 1	Range 2	Average
1864-8-5	38.83	38.28	38.56
1864-8-6	38.57	38.2	38.39
1864-8-7			
1864-8-8	38.95	38.54	38.75
1864-8-9	39.6	39.14	39.37
1864-8-10	39.29	39.14	39.22
1864-8-11	39.39	38.95	39.17
1864-8-12	39.2	38.83	39.02
1864-8-13	39.35	39.02	39.19
1864-8-14			
1864-8-15	39.1	38.93	39.02
1864-8-16	39.12	38.95	39.04
1864-8-17	39.1	38.91	39.01
1864-8-18	38.91	38.76	38.84
1864-8-19	38.91	38.78	38.85
1864-8-20	38.99	38.89	38.94
1864-8-21			
1864-8-22	38.93	38.87	38.90
1864-8-23	38.89	38.72	38.81
1864-8-24	39.35	38.91	39.13
1864-8-25	39.29	39.1	39.20
1864-8-26	39.47	39.06	39.27
1864-8-27	40.82	39.53	40.18
1864-8-28			
1864-8-29	42.53	40.82	41.68
1864-8-30	43.2	42.37	42.79
1864-8-31	42.73	41.15	41.94
1864-9-1	41.15	40.24	40.70
1864-9-2	40.24	39.29	39.77
1864-9-3	42.37	41.07	41.72
1864-9-4			
1864-9-5	42.55	41.07	41.81
1864-9-6	41.58	41.32	41.45
1864-9-7	41.52	41.19	41.36
1864-9-8	42.42	41.49	41.96
1864-9-9	42.71	42.37	42.54
1864-9-10	45.87	43.76	44.82
1864-9-11			
1864-9-12	46.84	44.44	45.64
1864-9-13	45.98	43.86	44.92
1864-9-14	44.74	43.86	44.30
1864-9-15	43.81	43.57	43.69
1864-9-16	44.62	43.86	44.24
1864-9-17	45.27	44.72	45.00
1864-9-18			
1864-9-19	44.67	44.1	44.39
1864-9-20	44.84	44.1	44.47
1864-9-21	45.45	45.05	45.25
1864-9-22	46.3	45.2	45.75
1864-9-23	47.39	46.08	46.74
1864-9-24	50	47.17	48.59
1864-9-25			
1864-9-26	51.27	50.47	50.87
1864-9-27	52.02	51.27	51.65
1864-9-28	51.28	48.78	50.03
1864-9-29	51.48	49.5	50.49
1864-9-30	52.36	51.51	51.94
1864-10-1	52.63	51.61	52.12
1864-10-2			
1864-10-3	52.91	52.15	52.53
1864-10-4	52.63	52.02	52.33
1864-10-5	52.84	52.29	52.57
1864-10-6	52.02	50.76	51.39
1864-10-7	50.51	49.02	49.77
1864-10-8	50.83	49.2	50.02
1864-10-9			
1864-10-10	51.02	50.25	50.64
1864-10-11	50.41	49.17	49.79
1864-10-12	49.94	48.84	49.39
1864-10-13	49.05	47.68	48.37
1864-10-14	48.08	46.03	47.06
1864-10-15	46.89	45.45	46.17
1864-10-16			
1864-10-17	45.82	44.94	45.38
1864-10-18	48.48	46.51	47.50
1864-10-19	48.19	47.28	47.74
1864-10-20	48.48	47.34	47.91
1864-10-21	48.22	47.85	48.04
1864-10-22	47.73	46.84	47.29
1864-10-23			
1864-10-24	47.11	46.11	46.61
1864-10-25	46.57	45.71	46.14
1864-10-26	47.09	46.08	46.59
1864-10-27	46.54	46.16	46.35
1864-10-28	46.48	45.92	46.20
1864-10-29	45.92	45.2	45.56
1864-10-30			
1864-10-31	45.15	43.91	44.53
1864-11-1	43.48	41.41	42.45
1864-11-2	43.57	40.65	42.11
1864-11-3	44	42.24	43.12
1864-11-4	43.17	41.91	42.54
1864-11-5	42.46	40.86	41.66
1864-11-6			
1864-11-7	41.93	40.67	41.30
1864-11-8	40.73	40.08	40.41
1864-11-9	40.65	38.46	39.56
1864-11-10	41.15	39.53	40.34
1864-11-11	42.22	40.9	41.56
1864-11-12	41.24	40.82	41.03
1864-11-13			
1864-11-14	41.15	40.55	40.85
1864-11-15	41.91	40.98	41.45
1864-11-16	43.76	41.67	42.72
1864-11-17	45.82	44.1	44.96
1864-11-18	47.62	45.66	46.64
1864-11-19	46.3	44.35	45.33
1864-11-20			
1864-11-21	45.98	45.15	45.57
1864-11-22	44.64	43.67	44.16
1864-11-23	45.35	44.74	45.05
1864-11-24			
1864-11-25	46.14	45.2	45.67
1864-11-26	45.56	44.51	45.04
1864-11-27			
1864-11-28	44.2	42.78	43.49
1864-11-29	43.1	42.35	42.73
1864-11-30	44	42.92	43.46
1864-12-1	44.1	43.67	43.89
1864-12-2	43.43	42.78	43.11
1864-12-3	43.81	43.29	43.55
1864-12-4			
1864-12-5	44.05	43.53	43.79
1864-12-6	43.48	42.6	43.04
1864-12-7	41.93	41.15	41.54
1864-12-8	41.84	41.19	41.52
1864-12-9	41.75	41.26	41.51
1864-12-10	42.64	41.8	42.22
1864-12-11			
1864-12-12	43.01	42.11	42.56
1864-12-13	42.87	42.46	42.67
1864-12-14	42.85	42.46	42.66
1864-12-15	42.64	42.06	42.35
1864-12-16	42.78	42.6	42.69
1864-12-17	44.42	43.22	43.82
1864-12-18			
1864-12-19	47	46.03	46.52
1864-12-20	45.35	44.05	44.70
1864-12-21	44.99	44.25	44.62
1864-12-22	45.25	44.54	44.90
1864-12-23	45.35	44.89	45.12
1864-12-24	45.38	45.05	45.22
1864-12-25			
1864-12-26			
1864-12-27	46.3	45.87	46.09
1864-12-28	46.24	44.64	45.44
1864-12-29	45.05	44.42	44.74
1864-12-30	44.25	43.57	43.91
1864-12-31	44.59	43.88	44.24
1865-1-1			
1865-1-2			
1865-1-3	44.25	43.57	43.91
1865-1-4	43.29	42.67	42.98
1865-1-5	44.17	43.57	43.87
1865-1-6	44.05	43.81	43.93
1865-1-7	44.17	43.96	44.07
1865-1-8			
1865-1-9	44.22	44.05	44.14
1865-1-10	44.94	43.69	44.32
1865-1-11	45.45	44.69	45.07
1865-1-12	46.19	45.51	45.85
1865-1-13	45.77	45.05	45.41
1865-1-14	45.92	45.25	45.59
1865-1-15			
1865-1-16	45.85	45.22	45.54
1865-1-17	46.62	46.08	46.35
1865-1-18	46.51	46.08	46.30
1865-1-19	48.08	46.54	47.31
1865-1-20	49.57	48.13	48.85
1865-1-21	50.7	48.54	49.62
1865-1-22			
1865-1-23	50.54	49.32	49.93
1865-1-24	50.54	49.08	49.81
1865-1-25	48.96	48.19	48.58
1865-1-26	49.5	48.31	48.91
1865-1-27	47.9	46.51	47.21
1865-1-28	46.95	45.45	46.20
1865-1-29			
1865-1-30	47.39	46.57	46.98
1865-1-31	49.5	47.39	48.45
1865-2-1	49.38	48.63	49.01
1865-2-2	49.08	48.54	48.81
1865-2-3	48.72	47.68	48.20
1865-2-4	47.93	46.62	47.28
1865-2-5			
1865-2-6	47.17	46.62	46.90
1865-2-7	47.06	46.14	46.60
1865-2-8	47.51	46.92	47.22
1865-2-9	47.34	46.73	47.04
1865-2-10	47.51	47.2	47.36
1865-2-11	48.87	47.85	48.36
1865-2-12			
1865-2-13	48.75	48.31	48.53
1865-2-14	48.28	47.9	48.09
1865-2-15	48.84	48.43	48.64
1865-2-16	49.26	48.78	49.02
1865-2-17	49.14	48.87	49.01
1865-2-18	49.02	48.66	48.84
1865-2-19			
1865-2-20	50.44	49.94	50.19
1865-2-21	50.92	50.06	50.49
1865-2-22			
1865-2-23	50.28	49.94	50.11
1865-2-24	50.28	49.94	50.11
1865-2-25	50.51	50.03	50.27
1865-2-26			
1865-2-27	50.12	49.57	49.85
1865-2-28	49.81	49.14	49.48
1865-3-1	50.12	49.75	49.94
1865-3-2	50.99	50.51	50.75
1865-3-3	50.47	50.25	50.36
1865-3-4	50.25	50	50.13
1865-3-5			
1865-3-6	50.51	50.22	50.37
1865-3-7	50.73	50.25	50.49
1865-3-8	51.05	50.57	50.81
1865-3-9	51.71	50.92	51.32
1865-3-10	53.58	52.32	52.95
1865-3-11	53.12	52.22	52.67
1865-3-12			
1865-3-13	53.98	52.22	53.10
1865-3-14	56.26	54.05	55.16
1865-3-15	57.39	55.9	56.65
1865-3-16	58.74	56.54	57.64
1865-3-17	62.5	59.17	60.84
1865-3-18	61.26	60.15	60.71
1865-3-19			
1865-3-20	62.4	59.57	60.99
1865-3-21	64.73	62.79	63.76
1865-3-22	64.1	62.89	63.50
1865-3-23	66.34	63.69	65.02
1865-3-24	67.51	65.57	66.54
1865-3-25	65.15	63.49	64.32
1865-3-26			
1865-3-27	65.36	64.31	64.84
1865-3-28	65.04	64.67	64.86
1865-3-29	66.23	65.63	65.93
1865-3-30	66.83	65.84	66.34
1865-3-31	66.12	65.84	65.98
1865-4-1	66.23	65.79	66.01
1865-4-2			
1865-4-3	68.73	67.57	68.15
1865-4-4	68.32	67.23	67.78
1865-4-5	67.57	64.73	66.15
1865-4-6	66.56	65.57	66.07
1865-4-7	67.91	66.45	67.18
1865-4-8	67.34	66.34	66.84
1865-4-9			
1865-4-10	69.69	68.67	69.18
1865-4-11	68.49	68.03	68.26
1865-4-12	68.91	68.49	68.70
1865-4-13	68.49	67.97	68.23
1865-4-14			
1865-4-15			
1865-4-16			
1865-4-17	67.51	65.36	66.44
1865-4-18	68.38	67.68	68.03
1865-4-19			
1865-4-20			
1865-4-21	67.91	66.83	67.37
1865-4-22	67.06	66.45	66.76
1865-4-23			
1865-4-24			
1865-4-25			
1865-4-26	66.39	65.79	66.09
1865-4-27	67.8	67	67.40
1865-4-28	68.14	67.57	67.86
1865-4-29	68.49	68.26	68.38
1865-4-30			
